,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
56,Earth,0,F/12/S,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0
57,Earth,0,F/13/S,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0
58,Mars,1,F/14/S,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0
59,Earth,1,E/3/S,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0
60,Earth,0,G/6/P,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0
61,Earth,1,G/10/S,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0
62,Earth,0,G/10/S,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0
63,Earth,0,F/15/S,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0
64,Mars,0,E/4/S,TRAPPIST-1e,27.0,0,793.0,0.0,2.0,253.0,0.0
65,Earth,0,F/16/S,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0
66,Earth,0,F/13/P,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0
67,Earth,0,F/14/P,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0
68,Earth,0,F/17/S,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0
69,Mars,0,D/3/P,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0
70,Europa,0,C/3/S,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0
71,Mars,0,F/18/S,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0
72,Mars,0,F/15/P,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0
73,Europa,0,C/4/S,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0
74,Earth,1,G/13/S,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0
75,Mars,0,F/16/P,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0
76,Mars,1,F/16/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0
77,Mars,0,F/16/P,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0
78,Earth,0,G/14/S,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0
79,Europa,1,C/5/S,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0
80,Earth,0,F/17/P,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0
81,Mars,1,E/5/S,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0
82,Earth,1,G/15/S,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0
83,Earth,1,G/16/S,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0
84,Earth,0,F/20/S,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0
85,Earth,0,G/9/P,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0
86,Earth,1,G/9/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0
87,Earth,1,G/9/P,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0
88,Europa,0,A/2/S,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0
89,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0
90,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0
91,Earth,0,F/19/P,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0
92,Earth,0,G/12/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0
93,Mars,1,Unknown,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0
94,Earth,0,F/23/S,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0
95,Earth,0,F/24/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0
96,Earth,1,G/18/S,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0
97,Earth,1,G/18/S,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0
98,Earth,0,F/21/P,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0
99,Mars,0,D/2/S,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0
100,Earth,1,G/19/S,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0
101,Earth,0,G/19/S,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0
102,Earth,0,G/19/S,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0
103,Europa,0,Unknown,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0
104,Europa,0,B/5/P,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0
105,Europa,0,B/5/P,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0
106,Europa,1,B/5/P,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0
107,Europa,1,E/6/S,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0
108,Europa,0,B/1/S,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0
109,Earth,0,F/23/P,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0
110,Earth,0,G/20/S,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0
111,Mars,0,F/24/P,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0
112,Europa,0,D/4/P,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0
113,Earth,0,A/0/P,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0
114,Europa,1,A/0/P,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0
115,Mars,1,F/25/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0
116,Earth,0,G/21/S,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0
117,Earth,0,F/27/P,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0
118,Mars,1,F/27/S,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0
119,Mars,0,E/7/S,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0
120,Mars,0,D/3/S,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0
121,Mars,0,E/8/S,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0
122,Earth,1,G/22/S,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0
123,Mars,1,F/29/S,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0
124,Mars,0,D/5/S,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0
125,Earth,0,G/17/P,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0
126,Earth,0,G/23/S,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0
127,Earth,1,G/18/P,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0
128,Earth,0,E/5/P,TRAPPIST-1e,34.0,0,0.0,22.0,0.0,564.0,207.0
129,Europa,1,C/6/S,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0
130,Earth,1,G/19/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0
131,Earth,0,F/29/P,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0
132,Mars,0,F/30/P,TRAPPIST-1e,31.0,0,0.0,0.0,97.0,0.0,0.0
133,Earth,0,F/31/S,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0
134,Earth,0,G/25/S,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0
135,Earth,1,G/26/S,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0
136,Mars,0,F/31/P,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0
137,Earth,1,G/27/S,55 Cancri e,27.0,0,0.0,0.0,0.0,0.0,0.0
138,Earth,1,G/20/P,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0
139,Earth,0,F/32/P,TRAPPIST-1e,41.0,0,0.0,0.0,0.0,0.0,607.0
140,Earth,0,G/22/P,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0
141,Europa,1,B/8/P,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0
142,Europa,1,B/8/P,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0
143,Earth,0,G/28/S,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,0.0,135.0
144,Earth,1,G/28/S,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0
145,Mars,1,F/37/P,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0
146,Mars,1,F/35/S,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0
147,Mars,0,F/35/S,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0
148,Earth,1,G/23/P,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0
149,Earth,0,E/10/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0
150,Earth,1,G/30/S,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0
151,Earth,1,G/24/P,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0
152,Earth,0,E/11/S,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0
153,Earth,0,F/38/P,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0
154,Europa,0,B/2/S,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0
155,Mars,0,D/6/S,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0
156,Earth,0,G/26/P,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0
157,Earth,0,G/26/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0
158,Earth,0,G/26/P,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0
159,Earth,0,G/27/P,TRAPPIST-1e,20.0,0,0.0,0.0,3.0,299.0,92.0
160,Europa,1,C/3/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0
161,Earth,0,F/36/S,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0
162,Earth,0,G/28/P,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0
163,Earth,1,G/31/S,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0
164,Earth,0,E/8/P,55 Cancri e,49.0,0,84.0,3.0,401.0,202.0,98.0
165,Earth,1,G/32/S,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0
166,Earth,1,G/29/P,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0
167,Earth,0,G/29/P,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0
168,Earth,0,G/29/P,TRAPPIST-1e,39.0,0,0.0,0.0,10.0,898.0,0.0
169,Mars,1,F/41/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0
170,Mars,0,F/41/P,TRAPPIST-1e,23.0,0,0.0,0.0,8.0,1072.0,0.0
171,Mars,0,F/41/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0
172,Mars,0,F/42/P,TRAPPIST-1e,39.0,0,406.0,0.0,867.0,0.0,0.0
173,Mars,0,D/5/P,PSO J318.5-22,25.0,0,1052.0,0.0,719.0,0.0,7.0
174,Europa,0,C/5/P,TRAPPIST-1e,36.0,0,0.0,972.0,0.0,795.0,575.0
175,Earth,0,G/30/P,PSO J318.5-22,52.0,0,0.0,0.0,0.0,0.0,0.0
176,Earth,1,G/33/S,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0
177,Earth,1,G/31/P,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0
178,Europa,1,B/3/S,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0
179,Europa,1,B/3/S,TRAPPIST-1e,47.0,0,0.0,0.0,0.0,0.0,0.0
180,Europa,1,B/9/P,55 Cancri e,45.0,0,0.0,0.0,0.0,0.0,0.0
181,Europa,0,A/2/P,55 Cancri e,27.0,0,0.0,2433.0,0.0,878.0,443.0
182,Europa,1,C/8/S,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0
183,Earth,0,G/34/S,TRAPPIST-1e,29.0,0,0.0,2.0,66.0,0.0,705.0
184,Europa,0,C/9/S,55 Cancri e,27.0,0,2.0,1720.0,12.0,1125.0,122.0
185,Earth,1,G/32/P,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0
186,Earth,1,D/6/P,55 Cancri e,24.0,0,0.0,0.0,0.0,0.0,0.0
187,Mars,0,F/44/P,TRAPPIST-1e,29.0,0,902.0,1.0,137.0,0.0,0.0
188,Mars,1,F/44/P,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0
189,Mars,0,F/44/P,TRAPPIST-1e,17.0,0,848.0,0.0,307.0,182.0,0.0
190,Earth,0,E/9/P,TRAPPIST-1e,13.0,0,192.0,0.0,0.0,51.0,739.0
191,Earth,0,F/45/P,TRAPPIST-1e,35.0,0,147.0,188.0,0.0,10.0,387.0
192,Earth,0,F/46/P,TRAPPIST-1e,21.0,0,367.0,281.0,0.0,0.0,146.0
193,Earth,0,F/40/S,55 Cancri e,21.0,0,0.0,56.0,0.0,0.0,1918.0
194,Earth,0,F/47/P,TRAPPIST-1e,38.0,0,1517.0,0.0,0.0,27.0,0.0
195,Earth,1,G/36/P,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0
196,Earth,1,G/37/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0
197,Earth,0,G/37/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0
198,Earth,1,G/37/P,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0
199,Earth,0,E/10/P,TRAPPIST-1e,25.0,0,122.0,84.0,0.0,0.0,0.0
200,Earth,0,F/48/P,TRAPPIST-1e,16.0,0,0.0,3.0,0.0,0.0,1099.0
201,Earth,0,G/37/P,55 Cancri e,1.0,0,0.0,0.0,0.0,0.0,0.0
202,Earth,1,G/37/P,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0
203,Mars,0,E/13/S,55 Cancri e,21.0,0,2237.0,0.0,119.0,0.0,0.0
204,Mars,0,E/13/S,TRAPPIST-1e,23.0,0,1215.0,80.0,1.0,2.0,0.0
205,Mars,0,E/13/S,TRAPPIST-1e,33.0,0,1933.0,12.0,188.0,1.0,0.0
206,Mars,1,E/13/S,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0
207,Mars,0,E/13/S,TRAPPIST-1e,41.0,0,1230.0,0.0,301.0,43.0,1023.0
208,Mars,0,E/13/S,TRAPPIST-1e,16.0,0,915.0,0.0,221.0,234.0,0.0
209,Mars,1,E/13/S,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0
210,Mars,0,F/41/S,TRAPPIST-1e,20.0,0,1406.0,0.0,0.0,11.0,0.0
211,Mars,1,F/41/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0
212,Mars,1,E/14/S,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0
213,Earth,0,G/35/S,TRAPPIST-1e,21.0,0,0.0,2.0,665.0,0.0,9.0
214,Mars,0,F/42/S,TRAPPIST-1e,32.0,1,181.0,0.0,5.0,1634.0,0.0
215,Earth,1,G/38/P,PSO J318.5-22,58.0,0,0.0,0.0,0.0,0.0,0.0
216,Earth,0,F/43/S,TRAPPIST-1e,24.0,0,4.0,7.0,0.0,713.0,79.0
217,Mars,0,F/44/S,TRAPPIST-1e,30.0,0,85.0,0.0,1.0,1720.0,0.0
218,Earth,1,G/36/S,PSO J318.5-22,27.0,0,0.0,0.0,0.0,0.0,0.0
219,Mars,0,F/45/S,TRAPPIST-1e,32.0,0,56.0,0.0,256.0,1438.0,0.0
220,Earth,0,F/50/P,TRAPPIST-1e,43.0,0,0.0,888.0,0.0,0.0,0.0
221,Europa,1,B/11/P,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0
222,Mars,0,Unknown,TRAPPIST-1e,37.0,0,637.0,0.0,0.0,92.0,319.0
223,Mars,1,F/52/P,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0
224,Europa,0,E/11/P,55 Cancri e,33.0,0,0.0,1249.0,0.0,4812.0,1116.0
225,Earth,0,F/46/S,TRAPPIST-1e,18.0,0,313.0,1.0,691.0,283.0,0.0
226,Earth,1,G/37/S,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0
227,Mars,1,Unknown,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0
228,Mars,1,F/47/S,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0
229,Europa,0,C/6/P,55 Cancri e,46.0,0,0.0,3571.0,0.0,0.0,7.0
230,Europa,0,C/6/P,TRAPPIST-1e,33.0,0,0.0,86.0,796.0,584.0,10912.0
231,Mars,0,D/8/P,TRAPPIST-1e,21.0,0,2947.0,0.0,287.0,27.0,0.0
232,Europa,0,C/10/S,TRAPPIST-1e,33.0,0,0.0,1.0,0.0,8620.0,1063.0
233,Earth,1,G/38/S,PSO J318.5-22,47.0,0,0.0,0.0,0.0,0.0,0.0
234,Earth,1,C/11/S,55 Cancri e,54.0,0,0.0,0.0,0.0,0.0,0.0
235,Earth,0,F/53/P,TRAPPIST-1e,30.0,0,335.0,695.0,541.0,0.0,0.0
236,Earth,0,G/42/P,TRAPPIST-1e,29.0,0,272.0,615.0,0.0,0.0,1.0
237,Earth,0,F/54/P,TRAPPIST-1e,21.0,0,702.0,172.0,408.0,2.0,6.0
238,Europa,1,A/3/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0
239,Mars,0,F/49/S,55 Cancri e,21.0,0,1664.0,0.0,0.0,0.0,0.0
240,Mars,1,F/49/S,TRAPPIST-1e,60.0,0,0.0,0.0,0.0,0.0,0.0
241,Earth,0,F/50/S,TRAPPIST-1e,22.0,0,0.0,0.0,313.0,299.0,92.0
242,Europa,0,E/16/S,TRAPPIST-1e,26.0,0,0.0,4810.0,0.0,981.0,2054.0
243,Earth,0,F/56/P,TRAPPIST-1e,26.0,0,66.0,29.0,0.0,0.0,803.0
244,Earth,1,G/43/P,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0
245,Europa,1,D/8/S,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0
246,Earth,0,F/51/S,TRAPPIST-1e,13.0,0,118.0,0.0,0.0,754.0,1.0
247,Earth,0,F/52/S,55 Cancri e,47.0,0,0.0,231.0,592.0,0.0,0.0
248,Earth,0,F/59/P,TRAPPIST-1e,63.0,0,0.0,25.0,128.0,0.0,1240.0
249,Europa,1,D/9/S,55 Cancri e,27.0,0,0.0,0.0,0.0,0.0,0.0
250,Earth,0,F/61/P,55 Cancri e,50.0,0,44.0,2390.0,0.0,53.0,0.0
251,Earth,0,Unknown,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,888.0,0.0
252,Earth,0,G/45/P,TRAPPIST-1e,45.0,0,0.0,97.0,0.0,14.0,333.0
253,Earth,0,F/63/P,TRAPPIST-1e,19.0,0,0.0,0.0,2078.0,0.0,0.0
254,Earth,0,F/54/S,TRAPPIST-1e,21.0,0,0.0,918.0,0.0,0.0,0.0
255,Earth,1,G/46/P,PSO J318.5-22,29.0,0,0.0,0.0,0.0,0.0,0.0
256,Earth,0,F/64/P,TRAPPIST-1e,22.0,0,146.0,654.0,1.0,0.0,2.0
257,Europa,1,E/16/P,TRAPPIST-1e,14.0,0,0.0,0.0,0.0,0.0,0.0
258,Europa,1,E/16/P,55 Cancri e,42.0,0,0.0,0.0,0.0,0.0,0.0
259,Earth,0,F/65/P,55 Cancri e,57.0,0,3.0,1281.0,29.0,162.0,13.0
260,Europa,1,Unknown,55 Cancri e,39.0,0,0.0,0.0,0.0,0.0,0.0
261,Europa,0,B/12/P,TRAPPIST-1e,28.0,0,0.0,587.0,32.0,6.0,1460.0
262,Earth,0,F/55/S,55 Cancri e,19.0,0,0.0,0.0,0.0,0.0,828.0
263,Europa,1,C/12/S,55 Cancri e,19.0,0,0.0,0.0,0.0,0.0,0.0
264,Europa,0,B/7/S,55 Cancri e,26.0,0,0.0,4458.0,0.0,1157.0,262.0
265,Europa,1,B/7/S,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0
266,Europa,0,B/7/S,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0
267,Europa,0,B/7/S,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0
268,Europa,0,D/10/S,TRAPPIST-1e,40.0,0,0.0,6500.0,88.0,1090.0,0.0
269,Europa,1,B/8/S,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0
270,Earth,0,G/47/P,TRAPPIST-1e,24.0,0,90.0,2.0,1324.0,17.0,0.0
271,Europa,1,A/3/P,55 Cancri e,57.0,0,0.0,0.0,0.0,0.0,0.0
272,Earth,1,Unknown,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0
